frame_index,media_ms,track_id,class_id,state,x_min,y_min,x_max,y_max,confidence
242,20166.667,9,2,confirmed,-30.062,154.481,-29.298,155.789,0.3509
309,25750.000,11,0,tentative,514.024,0.000,550.681,45.440,0.5325
312,26000.000,12,1,tentative,519.535,0.737,560.304,55.014,0.4477
313,26083.333,12,1,tentative,522.279,1.063,564.319,57.554,0.4066
314,26166.667,12,1,confirmed,523.811,0.967,567.695,59.750,0.2997
315,26250.000,12,1,confirmed,525.654,1.040,571.104,61.921,0.2997
316,26333.333,12,1,confirmed,527.524,1.147,574.488,64.057,0.2997
317,26416.667,12,1,confirmed,529.417,1.287,577.848,66.161,0.2997
318,26500.000,12,1,confirmed,531.332,1.455,581.187,68.236,0.2997
318,26500.000,13,3,tentative,536.932,0.550,594.006,73.867,0.3263
319,26583.333,12,1,confirmed,533.266,1.649,584.505,70.285,0.2997
320,26666.667,12,1,confirmed,543.169,15.060,595.643,79.870,0.3327
320,26666.667,14,0,tentative,565.738,1.349,593.860,43.647,0.2818
321,26750.000,12,1,confirmed,545.686,7.319,602.934,80.537,0.3105
322,26833.333,12,1,confirmed,548.996,5.231,608.079,82.567,0.3710
322,26833.333,15,1,tentative,549.736,26.965,608.278,83.138,0.3808
323,26916.667,12,1,confirmed,552.192,5.750,612.834,85.126,0.3710
323,26916.667,15,1,tentative,555.171,28.504,615.295,85.562,0.5392
323,26916.667,16,0,tentative,564.352,1.969,610.611,62.710,0.2595
324,27000.000,12,1,confirmed,555.409,6.295,617.570,87.659,0.3710
324,27000.000,15,1,confirmed,560.636,28.889,622.004,87.693,0.4979
324,27000.000,16,0,tentative,585.938,9.457,618.680,64.603,0.3204
324,27000.000,17,0,tentative,588.943,4.576,615.219,50.391,0.5155
325,27083.333,12,1,confirmed,558.643,6.863,622.287,90.168,0.3710
325,27083.333,15,1,confirmed,565.740,29.821,628.712,89.214,0.5479
325,27083.333,17,0,tentative,594.893,6.162,621.137,51.259,0.4343
325,27083.333,18,0,tentative,589.102,6.557,622.671,68.710,0.2885
326,27166.667,12,1,confirmed,561.894,7.453,626.988,92.655,0.3710
326,27166.667,15,1,confirmed,570.199,32.513,634.518,91.199,0.4750
326,27166.667,17,0,confirmed,596.878,7.709,628.222,62.428,0.5349
326,27166.667,19,3,tentative,568.974,34.681,634.086,87.850,0.2944
327,27250.000,12,1,confirmed,565.161,8.064,631.672,95.121,0.3710
327,27250.000,15,1,confirmed,575.328,34.878,641.359,93.457,0.6756
327,27250.000,17,0,confirmed,604.408,9.181,636.631,67.801,0.5376
328,27333.333,12,1,confirmed,568.443,8.694,636.342,97.569,0.3710
328,27333.333,15,1,confirmed,581.285,37.840,649.847,96.001,0.4095
328,27333.333,17,0,confirmed,611.834,9.147,643.660,67.347,0.6370
328,27333.333,20,3,tentative,579.999,40.083,652.299,94.603,0.2907
329,27416.667,12,1,confirmed,571.739,9.343,640.998,99.998,0.3710
329,27416.667,15,1,confirmed,586.443,39.673,657.168,97.669,0.7468
329,27416.667,17,0,confirmed,618.227,11.334,648.925,69.989,0.6300
330,27500.000,12,1,confirmed,575.048,10.008,645.641,102.409,0.3710
330,27500.000,15,1,confirmed,592.317,42.504,665.356,100.263,0.7327
330,27500.000,17,0,confirmed,624.518,12.917,654.759,70.119,0.5500
331,27583.333,12,1,confirmed,578.369,10.690,650.271,104.805,0.3710
331,27583.333,15,1,confirmed,598.264,42.839,673.387,100.905,0.7447
331,27583.333,17,0,confirmed,631.109,15.214,660.160,72.364,0.7004
332,27666.667,12,1,confirmed,581.702,11.387,654.890,107.185,0.3710
332,27666.667,15,1,confirmed,605.351,45.999,681.321,102.582,0.8051
332,27666.667,17,0,confirmed,637.121,16.016,666.695,73.088,0.6517
333,27750.000,12,1,confirmed,585.046,12.099,659.498,109.551,0.3710
333,27750.000,15,1,confirmed,611.722,47.954,689.125,103.625,0.8159
333,27750.000,17,0,confirmed,644.451,17.797,673.619,75.951,0.6018
334,27833.333,12,1,confirmed,588.400,12.825,664.095,111.903,0.3710
334,27833.333,15,1,confirmed,618.561,50.502,696.465,104.085,0.8751
334,27833.333,17,0,confirmed,650.840,19.663,680.267,79.514,0.6443
335,27916.667,15,1,confirmed,625.621,52.947,703.559,104.780,0.8833
335,27916.667,17,0,confirmed,656.422,20.867,687.905,82.316,0.5765
336,28000.000,15,1,confirmed,632.693,54.142,710.902,105.627,0.7155
336,28000.000,17,0,confirmed,664.027,21.684,694.948,80.618,0.5624
337,28083.333,15,1,confirmed,640.247,54.632,719.008,105.777,0.7834
337,28083.333,17,0,confirmed,665.062,24.112,700.642,85.862,0.6202
338,28166.667,15,1,confirmed,647.498,55.899,726.290,106.649,0.7038
338,28166.667,17,0,confirmed,672.172,24.348,708.147,85.495,0.3300
339,28250.000,15,1,confirmed,654.607,56.718,733.286,107.364,0.7492
339,28250.000,17,0,confirmed,681.869,25.662,716.621,84.756,0.3943
340,28333.333,15,1,confirmed,661.383,58.581,739.745,108.152,0.8593
340,28333.333,17,0,confirmed,686.829,27.105,722.458,86.809,0.5580
341,28416.667,15,1,confirmed,668.810,59.067,746.911,108.185,0.6930
341,28416.667,17,0,confirmed,694.637,27.296,729.910,86.502,0.5790
342,28500.000,15,1,confirmed,674.977,59.635,752.927,108.305,0.7704
342,28500.000,17,0,confirmed,702.667,28.474,737.060,87.242,0.7042
343,28583.333,15,1,confirmed,682.038,60.012,759.614,108.625,0.8619
343,28583.333,17,0,confirmed,708.525,29.001,742.886,88.431,0.7215
344,28666.667,15,1,confirmed,689.463,60.267,766.605,108.717,0.7595
344,28666.667,17,0,confirmed,716.503,28.405,750.230,86.814,0.6494
345,28750.000,15,1,confirmed,695.476,60.650,770.577,108.899,0.8186
345,28750.000,17,0,confirmed,724.619,32.320,757.081,90.138,0.6117
346,28833.333,15,1,confirmed,701.043,62.088,772.907,109.203,0.7903
346,28833.333,17,0,confirmed,730.694,34.529,761.819,91.114,0.4476
347,28916.667,15,1,confirmed,707.056,64.432,774.390,109.473,0.7358
